1709036213.340326000	192.168.65.254	172.17.0.2			2020	56052	6	1221	20	32		1237	0.000005000	0.015735000	33638	1304	4096		
1709036213.340331000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.015740000	34807	1304	4096		
1709036213.340335000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.015744000	36255	1304	4096		
1709036213.340650000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000315000	0.016059000	37703	1304	4096		
1709036213.340667000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000017000	0.016076000	39151	1304	4096		
1709036213.340674000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000007000	0.016083000	40599	1304	4096		
1709036213.340847000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000173000	0.016256000	42047	1304	4096		
1709036213.340856000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000009000	0.016265000	43495	1304	4096		
1709036213.341022000	192.168.65.7	172.17.0.2	53	32615			17	61	20			77							
1709036213.341410000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000554000	0.016819000	44943	1304	4096		
1709036213.341421000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000011000	0.016830000	46391	1304	4096		
1709036213.341426000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.016835000	47839	1304	4096		
1709036213.341482000	192.168.65.7	172.17.0.2	53	6105			17	61	20			77							
1709036213.341507000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000081000	0.016916000	49287	1304	4096		
1709036213.341741000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000234000	0.017150000	50735	1304	4096		
1709036213.341752000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000011000	0.017161000	52183	1304	4096		
1709036213.342031000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000279000	0.017440000	53631	1304	4096		
1709036213.342042000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000011000	0.017451000	55079	1304	4096		
1709036213.342048000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000006000	0.017457000	56527	1304	4096		
1709036213.342105000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000057000	0.017514000	57975	1304	4096		
1709036213.342115000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000010000	0.017524000	59423	1304	4096		
1709036213.342188000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000073000	0.017597000	60871	1304	4096		
1709036213.342200000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000012000	0.017609000	62319	1304	4096		
1709036213.342522000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000322000	0.017931000	63767	1304	4096		
1709036213.342537000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000015000	0.017946000	65215	1304	4096		
1709036213.342550000	192.168.65.254	172.17.0.2			2020	56052	6	964	20	32		980	0.000013000	0.017959000	66663	1304	4096		
1709036213.342561000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000011000	0.017970000	67575	1304	4096		
1709036213.342752000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000191000	0.018161000	69023	1304	4096		
1709036213.342761000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000009000	0.018170000	70471	1304	4096		
1709036213.342766000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.018175000	71919	1304	4096		
1709036213.342771000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.018180000	73367	1304	4096		
1709036213.343659000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000888000	0.019068000	74815	1304	4096		
1709036213.345141000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.001482000	0.020550000	76263	1304	4096		
1709036213.345162000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000021000	0.020571000	77711	1304	4096		
1709036213.345173000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000011000	0.020582000	79159	1304	4096		
1709036213.345185000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000012000	0.020594000	80607	1304	4096		
1709036213.345761000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000576000	0.021170000	82055	1304	4096		
1709036213.345774000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000013000	0.021183000	83503	1304	4096		
1709036213.345783000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000009000	0.021192000	84951	1304	4096		
1709036213.345790000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000007000	0.021199000	86399	1304	4096		
1709036213.346063000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000273000	0.021472000	87847	1304	4096		
1709036213.346073000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000010000	0.021482000	89295	1304	4096		
1709036213.346394000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000321000	0.021803000	90743	1304	4096		
1709036213.346406000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000012000	0.021815000	92191	1304	4096		
1709036213.346426000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000020000	0.021835000	93639	1304	4096		
1709036213.346642000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000216000	0.022051000	95087	1304	4096		
1709036213.347354000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000712000	0.022763000	96535	1304	4096		
1709036213.347368000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000014000	0.022777000	97983	1304	4096		
1709036213.347372000	192.168.65.254	172.17.0.2			2020	56052	6	964	20	32		980	0.000004000	0.022781000	99431	1304	4096		
1709036213.347377000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.022786000	100343	1304	4096		
1709036213.349149000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.001772000	0.024558000	101791	1304	4096		
1709036213.349238000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000089000	0.024647000	103239	1304	4096		
1709036213.349247000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000009000	0.024656000	104687	1304	4096		
1709036213.349470000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000223000	0.024879000	106135	1304	4096		
1709036213.349522000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000052000	0.024931000	107583	1304	4096		
1709036213.349535000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000013000	0.024944000	109031	1304	4096		
1709036213.349541000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000006000	0.024950000	110479	1304	4096		
1709036213.349546000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.024955000	111927	1304	4096		
1709036213.349550000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.024959000	113375	1304	4096		
1709036213.349555000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.024964000	114823	1304	4096		
1709036213.349768000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000213000	0.025177000	116271	1304	4096		
1709036213.352237000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.002469000	0.027646000	1304	117719	819		
1709036213.353489000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.001252000	0.028898000	117719	1304	4096		
1709036213.353529000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000040000	0.028938000	119167	1304	4096		
1709036213.353537000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000008000	0.028946000	120615	1304	4096		
1709036213.353542000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.028951000	122063	1304	4096		
1709036213.353547000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.028956000	123511	1304	4096		
1709036213.353551000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.028960000	124959	1304	4096		
1709036213.353555000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.028964000	126407	1304	4096		
1709036213.353560000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.028969000	127855	1304	4096		
1709036213.353564000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.028973000	129303	1304	4096		
1709036213.353568000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.028977000	130751	1304	4096		
1709036213.353573000	192.168.65.254	172.17.0.2			2020	56052	6	964	20	32		980	0.000005000	0.028982000	132199	1304	4096		
1709036213.353576000	192.168.65.254	172.17.0.2			2020	56052	6	167	20	32		183	0.000003000	0.028985000	133111	1304	4096		
1709036213.353581000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.028990000	133226	1304	4096		
1709036213.353585000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.028994000	134674	1304	4096		
1709036213.353590000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.028999000	136122	1304	4096		
1709036213.353595000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.029004000	137570	1304	4096		
1709036213.353600000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.029009000	139018	1304	4096		
1709036213.353604000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.029013000	140466	1304	4096		
1709036213.353609000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.029018000	141914	1304	4096		
1709036213.353613000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.029022000	143362	1304	4096		
1709036213.353617000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.029026000	144810	1304	4096		
1709036213.353622000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.029031000	146258	1304	4096		
1709036213.353626000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.029035000	147706	1304	4096		
1709036213.353630000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.029039000	149154	1304	4096		
1709036213.353635000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.029044000	150602	1304	4096		
1709036213.353639000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.029048000	152050	1304	4096		
1709036213.353644000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000005000	0.029053000	153498	1304	4096		
